流浪啊流浪{5天}{触发事件“曾经的约定”。}{人类复权运动失败之后，我们看似四散而逃，实则在为人类保留火种……},,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,避实击虚{55天}{庙算追击效果：增援率：+15%，解密：+15}{夫兵形象水，水之形，避高而趋下，兵之形，避实而击虚},,,,,,,,,,
,,,,,,,,,,,,火攻{55天}{获得火攻，其效果为（侦察：+5，地形惩罚降低：-50%，林地游侠特质经验增长速度：+50%），（竹林妖怪联盟）（月兔年糕厂）获得溃逃，其效果为（部队组织度：-10%，堑壕上限：-10）}{兵有奇变，不在众寡……依草结营，易为风火……因夜纵烧，必大惊乱},,,,,,,,,
,,,,,,,,,,,,,坐忘道{55天}{（人类村落）成为竹林流亡者的四级附庸（势力范围），释放人类财阀联合}{堕肢体，黜聪明，离形去知，同于大通，此谓坐忘}（注：需要人类村落存在且意识形态为孤立）,,,,,,,,
,,,,,,,,,,,,,,昭然若揭{55天}{创建阵营：第二次人类复权运动——南线，（人类财阀联合）触发事件：“无心插柳”。}{吾心昭昭，又何惧天下之口}（注：需要竹林妖怪联盟、月兔年糕厂不存在},,,,,,,
,,,,,,,,,,,,,,,一顾茅庐{55天}{（藤原卫队）触发事件：“戏谑的诗句”。获得第一次拜访（与竹林流亡者的关系+30）}{人类复权运动失败之后许多曾经帮助我们一方的重要人物都被软禁或流放到其他地方，但我们拥有了改变的机会},,,,,,
,,,,,,,,,,,,,,,,二顾茅庐{55天}{获得军乐队，其效果为（部队组织度：+10%），（藤原卫队）触发事件：“熟悉的音乐”。获得第二次拜访（与竹林流亡者的关系+60）}{人类复权路上，我们能付出的只有真挚与坚持},,,,,
,,,,,,,,,,,,,,,,,三顾茅庐{55天}{（藤原卫队）触发事件：“承认人类身份”。如果他们同意，则（藤原卫队）成为竹林流亡者的四级附庸（势力范围）}{文王拉车八百步，周朝天下八百年},,,,
,,,,,,,,,,,,,,,,,,家仇国恨{55天}{竹林流亡者对永远亭宣战}{经过我们的开导，藤原妹红明白了父亲和自己的悲剧并不是源于自身，而是源于妖怪操控的社会}（注：需要永远亭存在，需要藤原卫队是我们的盟友）,,,
,,,,,,,,,,,,,,,,,,,软禁辉夜{55天}{获得强大的威望，其效果为（每日获得的政治点数：+0.25，部队组织度：+15%，稳定度：+20%，战争支持度：+20%，建造速度：+10%，部队攻击：+5%，部队防御：+5%，科研速度：+10%，工厂产出：+10%），竹林流亡者吞并藤原卫队}{此战之后藤原妹红再无挂念，差人建造一座金屋后就将藤原卫队全权交给我们}（注：需要永远亭不存在）,,
,,,,,,,,,,,,,,,,,,,,威霸一方{55天}{获得外交中立，其效果为（稳定度：+35%，训练时间：+5%，ai修正：加入或扩大一个阵营的意愿：-250，ai修正：专注防御：+50%，ai修正：专注进攻：-30%，ai修正：专注和平：+40%，ai修正：部署部队数量修正：-20%）}{威名一方，霸业安稳},
,,,,,,,,,,,,,,,,,,,,,人类复权运动的未来{110天}{触发事件：“人类复权运动的未来”。}{当初为人类保留火种的任务我们已经超额完成了，我们又一次站在人类的岔路口上}
